X  Y  Z
8  9  8
8  8  8
8  7  8
8  7  9
9  7  9
9  6  9
9  6 10
9  7 10
8  7 10
8  7 11
8  6 11
7  6 11
7  6 12
7  6 13



